season,round,race_name,circuit_id,race_date,driver_id,driver_code,constructor_id,finish_position,grid_position,status,points
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,alonso,ALO,ferrari,1,3,Finished,25.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,massa,MAS,ferrari,2,2,Finished,18.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,hamilton,HAM,mclaren,3,4,Finished,15.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,vettel,VET,red_bull,4,1,Finished,12.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,rosberg,ROS,mercedes,5,5,Finished,10.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,michael_schumacher,MSC,mercedes,6,7,Finished,8.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,button,BUT,mclaren,7,8,Finished,6.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,webber,WEB,red_bull,8,6,Finished,4.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,liuzzi,LIU,force_india,9,12,Finished,2.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,barrichello,BAR,williams,10,11,Finished,1.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,kubica,KUB,renault,11,9,Finished,0.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,sutil,SUT,force_india,12,10,Finished,0.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,alguersuari,ALG,toro_rosso,13,18,Finished,0.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,hulkenberg,HUL,williams,14,13,+1 Lap,0.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,kovalainen,KOV,lotus_racing,15,21,+2 Laps,0.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,buemi,BUE,toro_rosso,16,15,Electrical,0.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,trulli,TRU,lotus_racing,17,20,Hydraulics,0.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,rosa,DLR,sauber,18,14,Hydraulics,0.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,bruno_senna,SEN,hrt,19,23,Overheating,0.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,glock,GLO,virgin,20,19,Gearbox,0.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,petrov,PET,renault,21,17,Suspension,0.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,kobayashi,KOB,sauber,22,16,Hydraulics,0.0
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,grassi,DIG,virgin,23,22,Hydraulics,0.0
